                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.5384,                0.63931,                 1.0159,                0.83073,                0.77855,                0.86496,                0.75033,                0.57521,                0.67289,                0.89282,             0.00065403,             0.00065403,             0.00065403
                     87,                0.52152,                0.61005,                 1.0071,                0.80911,                 0.8851,                0.91088,                0.80309,                0.55815,                0.63051,                0.89727,             0.00065103,             0.00065103,             0.00065103
                     88,                0.52142,                0.62353,                 1.0004,                0.80438,                0.78164,                0.87855,                0.76944,                0.56269,                0.68962,                0.88757,             0.00064803,             0.00064803,             0.00064803
                     89,                0.53597,                0.62726,                 1.0142,                0.82721,                0.80965,                0.89895,                0.78651,                0.56825,                0.63342,                0.88126,             0.00064503,             0.00064503,             0.00064503
                     90,                0.53441,                0.63069,                 1.0137,                0.78141,                0.84832,                0.88289,                0.76113,                0.57507,                0.61621,                0.89259,             0.00064203,             0.00064203,             0.00064203
                     91,                0.53164,                0.61298,                 1.0056,                0.79364,                0.86895,                0.89774,                0.77809,                0.57642,                0.66429,                0.89924,             0.00063903,             0.00063903,             0.00063903
                     92,                0.52682,                0.62233,                 1.0066,                0.81907,                0.84466,                 0.9039,                0.78779,                0.57885,                0.61286,                 0.8944,             0.00063603,             0.00063603,             0.00063603
                     93,                 0.5205,                0.59948,                 1.0048,                0.82637,                0.82017,                 0.8919,                0.77422,                0.58108,                0.66001,                0.89544,             0.00063303,             0.00063303,             0.00063303
                     94,                0.50824,                0.61121,                0.99616,                0.79401,                0.90395,                0.91927,                0.80632,                 0.5535,                0.62056,                0.87422,             0.00063003,             0.00063003,             0.00063003
                     95,                0.52964,                0.61408,                 1.0028,                0.85148,                0.81975,                0.90463,                0.78885,                0.55953,                0.65397,                0.88214,             0.00062703,             0.00062703,             0.00062703
                     96,                0.51491,                  0.594,                 1.0053,                0.74212,                0.89766,                0.90487,                0.79612,                 0.5578,                  0.622,                0.88749,             0.00062403,             0.00062403,             0.00062403
                     97,                0.52177,                0.63619,                 1.0109,                 0.8249,                0.88063,                0.90605,                0.79361,                0.54663,                0.61854,                0.87509,             0.00062103,             0.00062103,             0.00062103
                     98,                0.50712,                 0.6097,                 1.0027,                0.77648,                0.79909,                0.86719,                0.74722,                0.57138,                0.77106,                0.89382,             0.00061803,             0.00061803,             0.00061803
                     99,                0.50012,                0.57828,                0.99478,                0.87439,                0.78808,                0.90637,                0.78885,                0.55328,                0.63231,                0.89891,             0.00061503,             0.00061503,             0.00061503
                    100,                0.51081,                0.59391,                0.99929,                 0.7704,                0.93327,                0.91288,                0.80465,                0.54214,                0.60886,                0.88839,             0.00061203,             0.00061203,             0.00061203
                    101,                 0.5109,                0.59474,                 1.0134,                 0.8313,                0.88555,                0.91698,                0.80744,                0.53715,                0.59975,                0.87991,             0.00060903,             0.00060903,             0.00060903
                    102,                0.51462,                0.59398,                0.99535,                0.71863,                0.90244,                 0.8821,                 0.7635,                0.55875,                0.71753,                0.88213,             0.00060603,             0.00060603,             0.00060603
                    103,                0.52143,                0.59736,                 1.0015,                0.81297,                0.88585,                0.91652,                0.79765,                0.54534,                0.59587,                0.88166,             0.00060303,             0.00060303,             0.00060303
                    104,                0.49105,                0.56039,                0.98865,                0.78919,                0.87003,                0.88889,                0.76416,                 0.5646,                0.67196,                0.87766,             0.00060003,             0.00060003,             0.00060003
                    105,                 0.4998,                0.55753,                0.99367,                0.79069,                0.80221,                0.88532,                0.77293,                0.57441,                0.63692,                0.88118,             0.00059703,             0.00059703,             0.00059703
                    106,                0.50117,                0.57159,                0.99515,                0.77953,                 0.9084,                0.90621,                0.79246,                0.54312,                0.63024,                0.87181,             0.00059403,             0.00059403,             0.00059403
                    107,                0.50288,                0.56301,                0.98907,                 0.8542,                0.81688,                0.90362,                0.78891,                0.54979,                0.64409,                0.87788,             0.00059103,             0.00059103,             0.00059103
                    108,                0.50287,                0.57055,                0.99529,                0.88476,                0.84723,                0.92069,                 0.7995,                0.54943,                0.61288,                0.87795,             0.00058803,             0.00058803,             0.00058803
                    109,                0.47869,                0.55355,                0.98442,                 0.7587,                0.93572,                0.91143,                 0.7875,                0.54454,                0.59778,                0.86711,             0.00058503,             0.00058503,             0.00058503
                    110,                0.50027,                0.56978,                0.98431,                0.84452,                 0.8484,                0.90373,                0.78821,                 0.5612,                0.61113,                0.88078,             0.00058203,             0.00058203,             0.00058203
                    111,                0.48894,                0.56312,                0.98774,                0.88646,                0.84537,                0.93229,                0.80763,                0.54583,                0.53902,                 0.8833,             0.00057903,             0.00057903,             0.00057903
                    112,                0.49368,                0.56365,                0.99845,                0.86875,                0.80208,                0.91815,                0.79563,                0.54513,                0.62582,                0.86395,             0.00057603,             0.00057603,             0.00057603
                    113,                0.51258,                0.58601,                0.99654,                0.86693,                0.82956,                0.91864,                0.78935,                0.56475,                0.64455,                0.87813,             0.00057303,             0.00057303,             0.00057303
                    114,                0.49845,                0.54519,                0.98444,                0.81153,                0.88307,                0.91564,                 0.7913,                0.56796,                0.58216,                0.88511,             0.00057003,             0.00057003,             0.00057003
                    115,                0.50416,                0.55764,                0.99591,                0.82892,                0.92148,                0.93514,                0.81787,                0.54338,                 0.6095,                0.86978,             0.00056703,             0.00056703,             0.00056703
                    116,                0.49515,                0.54236,                0.98867,                0.78885,                 0.8819,                0.91186,                0.80201,                0.53756,                0.60161,                0.85985,             0.00056403,             0.00056403,             0.00056403
                    117,                0.48986,                0.55942,                0.98419,                0.81831,                0.88533,                0.92555,                0.81596,                0.54777,                0.60166,                0.87531,             0.00056103,             0.00056103,             0.00056103
                    118,                0.51102,                0.54342,                0.99695,                0.83262,                0.86016,                 0.9138,                 0.7903,                0.54698,                 0.5907,                0.87133,             0.00055804,             0.00055804,             0.00055804
                    119,                0.48614,                0.54841,                0.98779,                0.88705,                0.83681,                0.90872,                0.79266,                0.55486,                 0.5711,                0.87271,             0.00055504,             0.00055504,             0.00055504
                    120,                0.48093,                0.53665,                0.98933,                0.84295,                0.87671,                0.92284,                0.80488,                0.55147,                0.58257,                0.88047,             0.00055204,             0.00055204,             0.00055204
                    121,                 0.4953,                0.56012,                 0.9976,                0.80974,                0.92678,                0.93559,                0.82179,                0.55283,                0.60635,                0.88394,             0.00054904,             0.00054904,             0.00054904
                    122,                0.47126,                0.53277,                0.97505,                0.84768,                0.86135,                0.92243,                0.80876,                0.56309,                0.56085,                0.88439,             0.00054604,             0.00054604,             0.00054604
                    123,                0.48826,                0.53356,                0.99027,                0.81791,                0.88936,                0.92402,                0.81068,                0.55388,                0.55494,                0.87314,             0.00054304,             0.00054304,             0.00054304
                    124,                0.50226,                0.54573,                0.99902,                0.83048,                0.86243,                 0.9169,                0.80165,                0.54803,                0.60142,                0.86562,             0.00054004,             0.00054004,             0.00054004
                    125,                0.48494,                0.54703,                 0.9888,                0.83487,                 0.8765,                0.91593,                0.80481,                0.55137,                0.58382,                0.87167,             0.00053704,             0.00053704,             0.00053704
                    126,                0.48088,                0.53898,                0.98903,                0.78618,                0.92634,                0.92265,                0.81708,                0.54737,                0.55365,                0.86772,             0.00053404,             0.00053404,             0.00053404
                    127,                0.46563,                0.51935,                0.98301,                0.77809,                0.93155,                0.92502,                0.80159,                0.55505,                0.58747,                0.87061,             0.00053104,             0.00053104,             0.00053104
                    128,                0.47972,                0.52591,                 0.9822,                0.89417,                0.83882,                 0.9181,                0.80621,                0.55294,                0.55215,                0.87258,             0.00052804,             0.00052804,             0.00052804
                    129,                0.48684,                0.54835,                0.98937,                0.83406,                 0.8597,                0.91202,                0.79534,                0.56004,                0.61561,                0.86039,             0.00052504,             0.00052504,             0.00052504
                    130,                0.47494,                0.53464,                0.98379,                0.87051,                0.85418,                0.91638,                0.78998,                0.56073,                0.55474,                0.86643,             0.00052204,             0.00052204,             0.00052204
                    131,                0.47244,                0.50677,                0.97847,                0.85848,                0.86687,                0.91492,                 0.8016,                 0.5395,                 0.5653,                0.85701,             0.00051904,             0.00051904,             0.00051904
                    132,                0.47637,                0.52103,                0.98235,                0.79194,                0.87971,                0.91194,                0.79608,                0.54782,                0.56279,                0.87254,             0.00051604,             0.00051604,             0.00051604
                    133,                0.48862,                 0.5184,                0.98951,                0.82947,                0.87301,                0.90999,                 0.8025,                0.54601,                0.54587,                0.86737,             0.00051304,             0.00051304,             0.00051304
